"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"147","2022-09-04","PagosDIANEnviados","PSE",25454323.2323232,198,171,86.3636363636364,0.542951128545572,0.0186064519281641
"148","2022-09-04","PagosDIANRecibidos","PSE",132983777.777778,9,9,100,2.83659838698874,0.000845747814916548
"149","2022-09-04","PagosEmpresasEnviados","PSE",305589.597413183,11029,8111,73.542478919213,0.00651835113716874,1.03641696119051
"150","2022-09-04","PagosEmpresasRecibidos","PSE",3347364.77493681,1266,1136,89.7314375987362,0.0714006601400321,0.118968525964928
"151","2022-09-04","PagosSSSEnviados","PSE",962169.666182874,689,559,81.1320754716981,0.0205234726273501,0.0647466938308335
"152","2022-09-04","PagosSSSOtrosCanalesEnviado","PSE",337233.333333333,3,0,0,0.00719332497058915,0.000281915938305516
"153","2022-09-04","PagosSSSRecibidos","PSE",727831.914858097,1797,96,5.34223706176962,0.0155249525181589,0.168867647045004
"154","2022-09-04","SeguridadSocialONIFRecibidos","ACH",365977.21319797,394,0,0,0.00780644368794183,0.0370249598974578
"155","2022-09-05","CreditosEnviados","ACH",2713986.97671686,5711,4543,79.5482402381369,0.0578904525733058,0.536673974554267
"156","2022-09-05","CreditosRecibidos","ACH",2592007.31490161,10621,10620,99.9905846907071,0.0552885764818568,0.998076393580962
"157","2022-09-05","DebitosEnviados","ACH",194618.327731092,357,346,96.9187675070028,0.00415128855372849,0.0335479966583564
"158","2022-09-05","DebitosRecibidos","ACH",231206.67977258,1539,1534,99.6751137102014,0.00493173307198312,0.14462287635073
"159","2022-09-05","DevolucionesCreditosEnviados","ACH",966994.92979021,143,139,97.2027972027972,0.0206263974742306,0.0134379930592296
"160","2022-09-05","DevolucionesCreditosRecibidos","ACH",889867.630229358,218,218,100,0.0189812406198908,0.0204858915168675
"161","2022-09-05","DevolucionesDebitosEnviados","ACH",229347.331746575,876,874,99.7716894977169,0.00489207241788268,0.0823194539852107
"162","2022-09-05","DevolucionesDebitosRecibidos","ACH",156220.471111111,225,191,84.8888888888889,0.00333224656250101,0.0211436953729137
"163","2022-09-05","PagosDIANEnviados","PSE",6592395.12195122,205,191,93.1707317073171,0.140618485064906,0.0192642557842103
"164","2022-09-05","PagosDIANRecibidos","PSE",130733083.333333,12,12,100,2.78859015367336,0.00112766375322206
"165","2022-09-05","PagosEmpresasEnviados","PSE",462595.945613134,10903,8073,74.0438411446391,0.00986736077949667,1.02457649178168
"166","2022-09-05","PagosEmpresasRecibidos","PSE",3728317.70787666,1281,1171,91.4129586260734,0.0795265420570097,0.120378105656455
"167","2022-09-05","PagosSSSEnviados","PSE",1465588.64628821,687,580,84.4250363901019,0.0312616054342896,0.0645587498719632
"168","2022-09-05","PagosSSSOtrosCanalesEnviado","PSE",259280,5,0,0,0.00553054847793127,0.00046985989717586
"169","2022-09-05","PagosSSSRecibidos","PSE",663515.368969298,1824,116,6.35964912280702,0.0141530542808437,0.171404890489754
"170","2022-09-05","SeguridadSocialONIFRecibidos","ACH",80964.402173913,368,0,0,0.001727003822931,0.0345816884321433
"171","2022-09-06","CreditosEnviados","ACH",3485354.00476157,5662,4474,79.0180148357471,0.0743440268670385,0.532069347561944
"172","2022-09-06","CreditosRecibidos","ACH",2550221.54686794,10533,10529,99.9620241146872,0.054397268954096,0.989806859390667
"173","2022-09-06","DebitosEnviados","ACH",167798.657894737,342,335,97.953216374269,0.00357921402352147,0.0321384169668288
"174","2022-09-06","DebitosRecibidos","ACH",189038.971190476,1470,1468,99.8639455782313,0.00403227859606287,0.138138809769703
"175","2022-09-06","DevolucionesCreditosEnviados","ACH",1236117.96811688,154,154,100,0.0263669019867029,0.0144716848330165
"176","2022-09-06","DevolucionesCreditosRecibidos","ACH",1221800.54634703,219,219,100,0.0260615055227367,0.0205798634963027
"177","2022-09-06","DevolucionesDebitosEnviados","ACH",268968.033385354,833,830,99.639855942377,0.00573719819365758,0.0782786588694983
"178","2022-09-06","DevolucionesDebitosRecibidos","ACH",208606.840375587,213,183,85.9154929577465,0.00444966925148586,0.0200160316196916
"179","2022-09-06","PagosDIANEnviados","PSE",3078481.08108108,185,167,90.2702702702703,0.0656652609430469,0.0173848161955068
"180","2022-09-06","PagosDIANRecibidos","PSE",312192375,8,8,100,6.65919108445695,0.000751775835481376
"181","2022-09-06","PagosEmpresasEnviados","PSE",364737.797106744,10839,7939,73.2447642771473,0.00778000643563988,1.01856228509783
"182","2022-09-06","PagosEmpresasRecibidos","PSE",2151011.46100392,1275,1152,90.3529411764706,0.0458819544957882,0.119814273779844
"183","2022-09-06","PagosSSSEnviados","PSE",1326325.66995769,709,600,84.6262341325811,0.0282910691731937,0.066626133419537
"184","2022-09-06","PagosSSSOtrosCanalesEnviado","PSE",301100,9,0,0,0.00642258618753898,0.000845747814916548
"185","2022-09-06","PagosSSSRecibidos","PSE",585921.075911277,1871,103,5.50507749866382,0.0124979362641506,0.175821573523207
"186","2022-09-06","SeguridadSocialONIFRecibidos","ACH",160793.274853801,342,0,0,0.00342978633718094,0.0321384169668288
"187","2022-09-07","CreditosEnviados","ACH",2994967.54113585,5705,4409,77.2830850131464,0.0638838829685375,0.536110142677656
"188","2022-09-07","CreditosRecibidos","ACH",2283988.06294246,10549,10545,99.9620817139065,0.0487183998191901,0.99131041106163
"189","2022-09-07","DebitosEnviados","ACH",167698.399477807,383,378,98.6945169712794,0.00357707547047013,0.0359912681236709
"190","2022-09-07","DebitosRecibidos","ACH",186645.064163823,1465,1464,99.9317406143345,0.00398121557977713,0.137668949872527
"191","2022-09-07","DevolucionesCreditosEnviados","ACH",1432904.53634615,156,154,98.7179487179487,0.0305644399973389,0.0146596287918868
"192","2022-09-07","DevolucionesCreditosRecibidos","ACH",911464.138636364,220,220,100,0.0194419029798838,0.0206738354757378
"193","2022-09-07","DevolucionesDebitosEnviados","ACH",190400.333703704,864,858,99.3055555555556,0.00406131701543746,0.0811917902319886
"194","2022-09-07","DevolucionesDebitosRecibidos","ACH",167845.92893401,197,163,82.741116751269,0.00358022233412893,0.0185124799487289
"195","2022-09-07","PagosDIANEnviados","PSE",6225666.66666667,201,178,88.5572139303483,0.132796017075906,0.0188883678664696
"196","2022-09-07","PagosDIANRecibidos","PSE",110213200,15,15,100,2.35089264697599,0.00140957969152758
"197","2022-09-07","PagosEmpresasEnviados","PSE",564224.522349941,10979,8109,73.8591857181893,0.0120351399000847,1.03171836221875
"198","2022-09-07","PagosEmpresasRecibidos","PSE",2262831.68249437,1331,1210,90.9090909090909,0.048267125568628,0.125076704628214
"199","2022-09-07","PagosSSSEnviados","PSE",1506457.32833787,734,616,83.9237057220708,0.0321333511428087,0.0689754329054163
"200","2022-09-07","PagosSSSOtrosCanalesEnviado","PSE",262400,4,0,0,0.00559709935440129,0.000375887917740688
"201","2022-09-07","PagosSSSRecibidos","PSE",513281.20265252,1885,113,5.9946949602122,0.0109484980487528,0.177137181235299
"202","2022-09-07","SeguridadSocialONIFRecibidos","ACH",79873.1578947368,380,0,0,0.00170372713600085,0.0357093521853654
"203","2022-09-08","CreditosEnviados","ACH",3039975.38702071,5649,4438,78.5625774473358,0.0648439187350969,0.530847711829287
"204","2022-09-08","CreditosRecibidos","ACH",2326745.94881308,10700,10697,99.9719626168224,0.0496304430181308,1.00550017995634
"205","2022-09-08","DebitosEnviados","ACH",173777.986187845,362,355,98.0662983425414,0.00370675554230619,0.0340178565555323
"206","2022-09-08","DebitosRecibidos","ACH",213308.077264516,1550,1548,99.8709677419355,0.00454994855772029,0.145656568124517
"207","2022-09-08","DevolucionesCreditosEnviados","ACH",1116650.49636364,132,125,94.6969696969697,0.0238186119370762,0.0124043012854427
"208","2022-09-08","DevolucionesCreditosRecibidos","ACH",855313.827259615,208,208,100,0.0182441938657214,0.0195461717225158
"209","2022-09-08","DevolucionesDebitosEnviados","ACH",202459.712215777,862,859,99.6519721577726,0.00431854849289328,0.0810038462731183
"210","2022-09-08","DevolucionesDebitosRecibidos","ACH",176316.201923077,208,184,88.4615384615385,0.00376089672238621,0.0195461717225158
